_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Pragyan Ojha,"Dr DY Patil Sports Academy, Mumbai",2nd_innings,2,1,0,0,1,0,0,0,4,1,1,25.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Dr DY Patil Sports Academy, Mumbai",1st_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,Dubai International Cricket Stadium,1st_innings,1,1,0,0,1,0,0,0,5,0,1,20.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Eden Gardens, Kolkata",1st_innings,2,1,0,0,1,0,0,0,1,1,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Kingsmead, Durban",1st_innings,1,0,0,0,0,0,0,0,2,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Kingsmead, Durban",2nd_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Maharashtra Cricket Association Stadium, Pune",1st_innings,1,1,0,0,1,0,0,0,1,1,0,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1st_innings,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",1st_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Sawai Mansingh Stadium, Jaipur",2nd_innings,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Sawai Mansingh Stadium, Jaipur",1st_innings,1,1,0,0,1,0,0,0,2,0,1,50.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"SuperSport Park, Centurion",1st_innings,1,1,0,0,1,0,0,0,1,1,0,100.0,1.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",2nd_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Wankhede Stadium, Mumbai",1st_innings,2,5,0,0,3,0,0,0,14,2,0,35.714285714285715,2.5,PP Ojha,Pragyan Ojha
Pragyan Ojha,"Wankhede Stadium, Mumbai",2nd_innings,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,PP Ojha,Pragyan Ojha
Vijay Zol,"M Chinnaswamy Stadium, Bengaluru",1st_innings,2,29,3,1,16,0,0,0,26,2,0,111.53846153846155,14.5,VH Zol,Vijay Zol
