_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Kamlesh Nagarkoti,Delhi Capitals,2nd_innings,1,3,0,0,3,0,0,0,3,0,1,100.0,3.0,KL Nagarkoti,Kamlesh Nagarkoti
Kamlesh Nagarkoti,Punjab Kings,1st_innings,1,6,0,0,6,0,0,0,13,1,0,46.15384615384615,6.0,KL Nagarkoti,Kamlesh Nagarkoti
Kamlesh Nagarkoti,Rajasthan Royals,1st_innings,2,9,1,0,8,0,0,0,6,0,2,150.0,9.0,KL Nagarkoti,Kamlesh Nagarkoti
Kamlesh Nagarkoti,Royal Challengers Bangalore,2nd_innings,1,4,0,0,4,0,0,0,7,1,0,57.14285714285714,4.0,KL Nagarkoti,Kamlesh Nagarkoti
Aiden Markram,Chennai Super Kings,1st_innings,1,12,1,0,12,0,0,0,12,1,0,100.0,12.0,AK Markram,Aiden Markram
Aiden Markram,Chennai Super Kings,2nd_innings,2,30,0,3,17,0,0,0,18,2,0,166.66666666666669,15.0,AK Markram,Aiden Markram
Aiden Markram,Delhi Capitals,2nd_innings,2,45,4,3,42,0,0,0,30,2,0,150.0,22.5,AK Markram,Aiden Markram
Aiden Markram,Delhi Capitals,1st_innings,1,8,0,0,8,0,0,0,13,1,0,61.53846153846154,8.0,AK Markram,Aiden Markram
Aiden Markram,Gujarat Titans,2nd_innings,2,22,2,0,12,0,0,0,18,1,1,122.22222222222223,22.0,AK Markram,Aiden Markram
Aiden Markram,Gujarat Titans,1st_innings,1,56,2,3,56,1,0,0,40,1,0,140.0,56.0,AK Markram,Aiden Markram
Aiden Markram,Kolkata Knight Riders,1st_innings,1,50,2,5,50,1,0,0,26,1,0,192.30769230769232,50.0,AK Markram,Aiden Markram
Aiden Markram,Kolkata Knight Riders,2nd_innings,4,159,10,8,68,1,0,0,117,3,1,135.8974358974359,53.0,AK Markram,Aiden Markram
Aiden Markram,Lucknow Super Giants,1st_innings,2,28,2,1,28,0,0,0,21,2,0,133.33333333333331,14.0,AK Markram,Aiden Markram
Aiden Markram,Lucknow Super Giants,2nd_innings,1,12,0,0,12,0,0,0,14,1,0,85.71428571428571,12.0,AK Markram,Aiden Markram
Aiden Markram,Mumbai Indians,2nd_innings,1,22,1,1,22,0,0,0,17,1,0,129.41176470588235,22.0,AK Markram,Aiden Markram
Aiden Markram,Mumbai Indians,1st_innings,3,57,6,1,42,0,0,0,40,2,1,142.5,28.5,AK Markram,Aiden Markram
Aiden Markram,Punjab Kings,2nd_innings,2,78,10,1,41,0,0,0,48,0,2,162.5,78.0,AK Markram,Aiden Markram
Aiden Markram,Punjab Kings,1st_innings,1,21,2,0,21,0,0,0,17,1,0,123.52941176470588,21.0,AK Markram,Aiden Markram
Aiden Markram,Rajasthan Royals,2nd_innings,3,89,8,3,57,1,0,0,66,1,2,134.84848484848484,89.0,AK Markram,Aiden Markram
Aiden Markram,Royal Challengers Bangalore,1st_innings,1,18,0,0,18,0,0,0,20,1,0,90.0,18.0,AK Markram,Aiden Markram
Aiden Markram,Royal Challengers Bangalore,2nd_innings,2,41,3,2,21,0,0,0,41,2,0,100.0,20.5,AK Markram,Aiden Markram
Aiden Markram,Sunrisers Hyderabad,1st_innings,1,27,2,0,27,0,0,0,32,1,0,84.375,27.0,AK Markram,Aiden Markram
Dhruv Jurel,Chennai Super Kings,1st_innings,2,38,3,2,34,0,0,0,21,2,0,180.95238095238096,19.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Delhi Capitals,1st_innings,1,8,0,1,8,0,0,0,3,0,1,266.66666666666663,8.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Gujarat Titans,2nd_innings,1,18,2,1,18,0,0,0,10,1,0,180.0,18.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Gujarat Titans,1st_innings,1,9,1,0,9,0,0,0,8,1,0,112.5,9.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Lucknow Super Giants,2nd_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Mumbai Indians,1st_innings,1,2,0,0,2,0,0,0,3,1,0,66.66666666666666,2.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Punjab Kings,2nd_innings,2,42,3,3,32,0,0,0,19,0,2,221.0526315789474,42.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Royal Challengers Bangalore,2nd_innings,2,35,2,2,34,0,0,0,23,1,1,152.17391304347828,35.0,DC Jurel,Dhruv Jurel
Ankit Rajpoot,Chennai Super Kings,1st_innings,1,2,0,0,2,0,0,0,4,1,0,50.0,2.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Kolkata Knight Riders,2nd_innings,1,7,0,1,7,0,0,0,5,0,1,140.0,7.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Mumbai Indians,2nd_innings,2,4,0,0,2,0,0,0,11,1,1,36.36363636363637,4.0,AS Rajpoot,Ankit Rajpoot
