_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Rahul Tewatia,Rajasthan Royals,1,1,0,0,1,0,0,0,1,0,1,100.0,1.0,R Tewatia,Rahul Tewatia
Rahul Tewatia,Rising Pune Supergiant,1,4,1,0,4,0,0,0,3,1,0,133.33333333333331,4.0,R Tewatia,Rahul Tewatia
Rahul Tewatia,Royal Challengers Bangalore,9,148,13,8,43,0,0,0,93,3,6,159.13978494623655,49.333333333333336,R Tewatia,Rahul Tewatia
Rahul Tewatia,Sunrisers Hyderabad,7,101,10,4,45,0,0,0,67,3,4,150.7462686567164,33.666666666666664,R Tewatia,Rahul Tewatia
Chris Woakes,Delhi Capitals,1,3,0,0,3,0,0,0,5,1,0,60.0,3.0,CR Woakes,Chris Woakes
Chris Woakes,Kolkata Knight Riders,1,5,1,0,5,0,0,0,5,1,0,100.0,5.0,CR Woakes,Chris Woakes
Chris Woakes,Mumbai Indians,2,20,0,1,11,0,0,0,19,2,0,105.26315789473684,10.0,CR Woakes,Chris Woakes
Chris Woakes,Punjab Kings,2,9,0,1,8,0,0,0,8,0,2,112.5,9.0,CR Woakes,Chris Woakes
Chris Woakes,Rajasthan Royals,2,15,2,0,15,0,0,0,12,0,2,125.0,15.0,CR Woakes,Chris Woakes
Chris Woakes,Rising Pune Supergiant,1,1,0,0,1,0,0,0,3,1,0,33.33333333333333,1.0,CR Woakes,Chris Woakes
Chris Woakes,Royal Challengers Bangalore,1,18,3,0,18,0,0,0,21,1,0,85.71428571428571,18.0,CR Woakes,Chris Woakes
Chris Woakes,Sunrisers Hyderabad,2,7,1,0,6,0,0,0,4,0,2,175.0,7.0,CR Woakes,Chris Woakes
TP Sudhindra,Chennai Super Kings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,TP Sudhindra,TP Sudhindra
Adil Rashid,Lucknow Super Giants,1,4,1,0,4,0,0,0,3,1,0,133.33333333333331,4.0,AU Rashid,Adil Rashid
Adil Rashid,Rajasthan Royals,1,18,1,1,18,0,0,0,13,1,0,138.46153846153845,18.0,AU Rashid,Adil Rashid
Chaminda Vaas,Delhi Capitals,4,28,1,1,12,0,0,0,22,1,3,127.27272727272727,28.0,WPUJC Vaas,Chaminda Vaas
Chaminda Vaas,Kolkata Knight Riders,3,9,0,0,9,0,0,0,10,3,0,90.0,3.0,WPUJC Vaas,Chaminda Vaas
Chaminda Vaas,Punjab Kings,1,16,1,1,16,0,0,0,10,1,0,160.0,16.0,WPUJC Vaas,Chaminda Vaas
Chaminda Vaas,Rajasthan Royals,2,28,0,1,20,0,0,0,28,2,0,100.0,14.0,WPUJC Vaas,Chaminda Vaas
Chaminda Vaas,Royal Challengers Bangalore,1,0,0,0,0,0,0,0,3,1,0,0.0,0.0,WPUJC Vaas,Chaminda Vaas
Rahul Shukla,Delhi Capitals,1,1,0,0,1,0,0,0,2,0,1,50.0,1.0,R Shukla,Rahul Shukla
Rahul Shukla,Rajasthan Royals,1,14,2,0,14,0,0,0,12,1,0,116.66666666666667,14.0,R Shukla,Rahul Shukla
Rahul Shukla,Royal Challengers Bangalore,1,2,0,0,2,0,0,0,6,0,1,33.33333333333333,2.0,R Shukla,Rahul Shukla
Rahul Shukla,Sunrisers Hyderabad,1,2,0,0,2,0,0,0,3,0,1,66.66666666666666,2.0,R Shukla,Rahul Shukla
Jamaluddin Syed Mohammad,Chennai Super Kings,1,2,0,0,2,0,0,0,2,0,1,100.0,2.0,J Syed Mohammad,Jamaluddin Syed Mohammad
Jamaluddin Syed Mohammad,Delhi Capitals,2,14,2,0,13,0,0,0,12,1,1,116.66666666666667,14.0,J Syed Mohammad,Jamaluddin Syed Mohammad
Jamaluddin Syed Mohammad,Mumbai Indians,1,9,1,0,9,0,0,0,11,1,0,81.81818181818183,9.0,J Syed Mohammad,Jamaluddin Syed Mohammad
Jamaluddin Syed Mohammad,Sunrisers Hyderabad,1,4,1,0,4,0,0,0,1,0,1,400.0,4.0,J Syed Mohammad,Jamaluddin Syed Mohammad
Sheldon Cottrell,Sunrisers Hyderabad,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,SS Cottrell,Sheldon Cottrell
Hashim Amla,Delhi Capitals,3,36,5,0,19,0,0,0,37,2,1,97.2972972972973,18.0,HM Amla,Hashim Amla
Hashim Amla,Gujarat Lions,2,169,17,7,104,1,1,0,100,2,0,169.0,84.5,HM Amla,Hashim Amla
Hashim Amla,Kolkata Knight Riders,1,25,4,0,25,0,0,0,27,1,0,92.5925925925926,25.0,HM Amla,Hashim Amla
Hashim Amla,Mumbai Indians,2,104,8,6,104,0,1,0,65,1,1,160.0,104.0,HM Amla,Hashim Amla
Hashim Amla,Rising Pune Supergiant,2,58,6,2,30,0,0,0,54,2,0,107.40740740740742,29.0,HM Amla,Hashim Amla
Hashim Amla,Royal Challengers Bangalore,4,89,6,4,58,1,0,0,67,3,1,132.8358208955224,29.666666666666668,HM Amla,Hashim Amla
Hashim Amla,Sunrisers Hyderabad,2,96,14,2,96,1,0,0,57,2,0,168.42105263157893,48.0,HM Amla,Hashim Amla
Rajat Bhatia,Chennai Super Kings,8,55,3,3,23,0,0,0,53,6,2,103.77358490566037,9.166666666666666,R Bhatia,Rajat Bhatia
Rajat Bhatia,Delhi Capitals,4,66,2,2,26,0,0,0,65,3,1,101.53846153846153,22.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Gujarat Lions,1,0,0,0,0,0,0,0,2,0,1,0.0,0.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Kochi Tuskers Kerala,2,11,1,0,10,0,0,0,9,1,1,122.22222222222223,11.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Kolkata Knight Riders,3,9,0,1,6,0,0,0,5,1,2,180.0,9.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Mumbai Indians,9,50,5,1,12,0,0,0,43,6,3,116.27906976744187,8.333333333333334,R Bhatia,Rajat Bhatia
Rajat Bhatia,Pune Warriors India,3,24,2,1,13,0,0,0,17,1,2,141.1764705882353,24.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Punjab Kings,6,37,1,3,17,0,0,0,29,4,2,127.58620689655173,9.25,R Bhatia,Rajat Bhatia
Rajat Bhatia,Rajasthan Royals,2,20,3,0,12,0,0,0,15,2,0,133.33333333333331,10.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Royal Challengers Bangalore,6,58,5,2,21,0,0,0,32,2,4,181.25,29.0,R Bhatia,Rajat Bhatia
Rajat Bhatia,Sunrisers Hyderabad,5,12,2,0,4,0,0,0,14,4,1,85.71428571428571,3.0,R Bhatia,Rajat Bhatia
Michael Hussey,Chennai Super Kings,2,40,4,1,39,0,0,0,40,2,0,100.0,20.0,MEK Hussey,Michael Hussey
